number	name	c	r
1	F2	1	3
2	A4	1	6
3	H5	1	4
4	B1	1	1
5	G5	2	5
6	F5	1	2
7	E5	2	3
8	D5	2	4
10	B5	2	2
11	C5	2	1
12	H1	1	0
13	A5	2	0
14	H6	2	-1
15	C1	1	-1
16	G6	2	-2
17	F6	1	-2
18	E6	2	-3
19	D6	2	-4
20	B6	2	-5
21	C6	1	-4
22	D1	1	-3
23	A6	1	-6
24	H7	1	-5
26	F1	0	-2
27	G7	1	-7
28	F7	0	-4
29	E7	0	-6
30	D7	0	-8
31	B7	0	-7
32	C7	0	-5
33	G1	0	-3
34	A7	-1	-6
35	H8	-1	-4
36	B2	0	-1
37	G8	-1	-5
38	F8	-1	-2
39	E8	-1	-3
40	D8	-2	-4
41	E1	0	0
42	B8	-2	-2
43	C8	-1	-1
44	G2	-1	0
45	A8	-2	0
46	H3	-1	1
47	C2	0	1
48	G3	-2	2
49	H2	-1	2
50	E3	-1	3
51	D3	-2	4
52	B3	-1	5
53	C3	-1	4
54	D2	0	3
55	F3	-1	6
56	H4	0	5
58	E2	0	2
59	G4	0	7
60	F4	0	4
61	E4	0	6
62	D4	0	8
63	B4	1	7
64	C4	1	5
