number	name	c	r	x	y
1	F2	1	3	51.96	90
2	A4	1	6	103.92	180
3	H5	1	4	103.92	120
4	B1	1	1	51.96	30
5	G5	2	5	155.88	150
6	F5	1	2	103.92	60
7	E5	2	3	155.88	90
8	D5	2	4	207.85	120
10	B5	2	2	207.85	60
11	C5	2	1	155.88	30
12	H1	1	0	103.92	0
13	A5	2	0	207.85	0
14	H6	2	-1	155.88	-30
15	C1	1	-1	51.96	-30
16	G6	2	-2	207.85	-60
17	F6	1	-2	103.92	-60
18	E6	2	-3	155.88	-90
19	D6	2	-4	207.85	-120
20	B6	2	-5	155.88	-150
21	C6	1	-4	103.92	-120
22	D1	1	-3	51.96	-90
23	A6	1	-6	103.92	-180
24	H7	1	-5	51.96	-150
26	F1	0	-2	0	-60
27	G7	1	-7	51.96	-210
28	F7	0	-4	0	-120
29	E7	0	-6	0	-180
30	D7	0	-8	0	-240
31	B7	0	-7	-51.96	-210
32	C7	0	-5	-51.96	-150
33	G1	0	-3	-51.96	-90
34	A7	-1	-6	-103.92	-180
35	H8	-1	-4	-103.92	-120
36	B2	0	-1	-51.96	-30
37	G8	-1	-5	-155.88	-150
38	F8	-1	-2	-103.92	-60
39	E8	-1	-3	-155.88	-90
40	D8	-2	-4	-207.85	-120
41	E1	0	0	0	0
42	B8	-2	-2	-207.85	-60
43	C8	-1	-1	-155.88	-30
44	G2	-1	0	-103.92	0
45	A8	-2	0	-207.85	0
46	H3	-1	1	-155.88	30
47	C2	0	1	-51.96	30
48	G3	-2	2	-207.85	60
49	H2	-1	2	-103.92	60
50	E3	-1	3	-155.88	90
51	D3	-2	4	-207.85	120
52	B3	-1	5	-155.88	150
53	C3	-1	4	-103.92	120
54	D2	0	3	-51.96	90
55	F3	-1	6	-103.92	180
56	H4	0	5	-51.96	150
58	E2	0	2	0	60
59	G4	0	7	-51.96	210
60	F4	0	4	0	120
61	E4	0	6	0	180
62	D4	0	8	0	240
63	B4	1	7	51.96	210
64	C4	1	5	51.96	150
