electrode	x	y
1	465	-30
2	465	-150
3	465	-270
4	465	-390
5	435	-90
6	435	-210
7	435	-330
8	435	-450
9	405	-30
10	405	-150
11	405	-270
12	405	-390
13	375	-90
14	375	-210
15	375	-330
16	375	-450
17	345	-30
18	345	-150
19	345	-270
20	345	-390
21	315	-90
22	315	-210
23	315	-330
24	315	-450
25	285	-30
26	285	-150
27	285	-270
28	285	-390
29	255	-90
30	255	-210
31	255	-330
32	255	-450
33	225	-30
34	225	-150
35	225	-270
36	225	-390
37	195	-90
38	195	-210
39	195	-330
40	195	-450
41	165	-30
42	165	-150
43	165	-270
44	165	-390
45	135	-90
46	135	-210
47	135	-330
48	135	-450
49	105	-30
50	105	-150
51	105	-270
52	105	-390
53	75	-90
54	75	-210
55	75	-330
56	75	-450
57	45	-30
58	45	-150
59	45	-270
60	45	-390
61	15	-90
62	15	-210
63	15	-330
64	15	-450
65	-15	-30
66	-15	-150
67	-15	-270
68	-15	-390
69	-45	-90
70	-45	-210
71	-45	-330
72	-45	-450
73	-75	-30
74	-75	-150
75	-75	-270
76	-75	-390
77	-105	-90
78	-105	-210
79	-105	-330
80	-105	-450
81	-135	-30
82	-135	-150
83	-135	-270
84	-135	-390
85	-165	-90
86	-165	-210
87	-165	-330
88	-165	-450
89	-195	-30
90	-195	-150
91	-195	-270
92	-195	-390
93	-225	-90
94	-225	-210
95	-225	-330
96	-225	-450
97	-255	-30
98	-255	-150
99	-255	-270
100	-255	-390
101	-285	-90
102	-285	-210
103	-285	-330
104	-285	-450
105	-315	-30
106	-315	-150
107	-315	-270
108	-315	-390
109	-345	-90
110	-345	-210
111	-345	-330
112	-345	-450
113	-375	-30
114	-375	-150
115	-375	-270
116	-375	-390
117	-405	-90
118	-405	-210
119	-405	-330
120	-405	-450
121	-435	-30
122	-435	-150
123	-435	-270
124	-435	-390
125	-465	-90
126	-465	-210
127	-465	-330
128	-465	-450
129	-945	-450
130	-885	-450
131	-825	-450
132	-765	-450
133	-705	-450
134	-645	-450
135	-585	-450
136	-525	-450
137	-915	-390
138	-855	-390
139	-795	-390
140	-735	-390
141	-675	-390
142	-615	-390
143	-555	-390
144	-495	-390
145	-945	-330
146	-885	-330
147	-825	-330
148	-765	-330
149	-705	-330
150	-645	-330
151	-585	-330
152	-525	-330
153	-915	-270
154	-855	-270
155	-795	-270
156	-735	-270
157	-675	-270
158	-615	-270
159	-555	-270
160	-495	-270
161	-945	-210
162	-885	-210
163	-825	-210
164	-765	-210
165	-705	-210
166	-645	-210
167	-585	-210
168	-525	-210
169	-915	-150
170	-855	-150
171	-795	-150
172	-735	-150
173	-675	-150
174	-615	-150
175	-555	-150
176	-495	-150
177	-945	-90
178	-885	-90
179	-825	-90
180	-765	-90
181	-705	-90
182	-645	-90
183	-585	-90
184	-525	-90
185	-915	-30
186	-855	-30
187	-795	-30
188	-735	-30
189	-675	-30
190	-615	-30
191	-555	-30
192	-495	-30
193	-945	30
194	-885	30
195	-825	30
196	-765	30
197	-705	30
198	-645	30
199	-585	30
200	-525	30
201	-915	90
202	-855	90
203	-795	90
204	-735	90
205	-675	90
206	-615	90
207	-555	90
208	-495	90
209	-945	150
210	-885	150
211	-825	150
212	-765	150
213	-705	150
214	-645	150
215	-585	150
216	-525	150
217	-915	210
218	-855	210
219	-795	210
220	-735	210
221	-675	210
222	-615	210
223	-555	210
224	-495	210
225	-945	270
226	-885	270
227	-825	270
228	-765	270
229	-705	270
230	-645	270
231	-585	270
232	-525	270
233	-915	330
234	-855	330
235	-795	330
236	-735	330
237	-675	330
238	-615	330
239	-555	330
240	-495	330
241	-945	390
242	-885	390
243	-825	390
244	-765	390
245	-705	390
246	-645	390
247	-585	390
248	-525	390
249	-915	450
250	-855	450
251	-795	450
252	-735	450
253	-675	450
254	-615	450
255	-555	450
256	-495	450
257	-465	390
258	-465	270
259	-465	150
260	-465	30
261	-435	450
262	-435	330
263	-435	210
264	-435	90
265	-405	390
266	-405	270
267	-405	150
268	-405	30
269	-375	450
270	-375	330
271	-375	210
272	-375	90
273	-345	390
274	-345	270
275	-345	150
276	-345	30
277	-315	450
278	-315	330
279	-315	210
280	-315	90
281	-285	390
282	-285	270
283	-285	150
284	-285	30
285	-255	450
286	-255	330
287	-255	210
288	-255	90
289	-225	390
290	-225	270
291	-225	150
292	-225	30
293	-195	450
294	-195	330
295	-195	210
296	-195	90
297	-165	390
298	-165	270
299	-165	150
300	-165	30
301	-135	450
302	-135	330
303	-135	210
304	-135	90
