MC_DataTool ASCII conversion

t           	Spikes 2 21 	Unit
[ms]        	[µV]


t           	Spikes 2 31 	Unit
[ms]        	[µV]
66107.000   	-3.64       	0
66107.040   	-2.91       	0
66107.080   	-2.54       	0
66107.120   	-2.18       	0
66107.160   	-1.82       	0
66107.200   	-2.54       	0
66107.240   	-2.91       	0
66107.280   	-3.27       	0
66107.320   	-2.91       	0
66107.360   	-2.54       	0
66107.400   	-2.54       	0
66107.440   	-2.91       	0
66107.480   	-3.64       	0
66107.520   	-4.36       	0
66107.560   	-3.64       	0
66107.600   	-2.18       	0
66107.640   	-1.45       	0
66107.680   	-1.82       	0
66107.720   	-2.54       	0
66107.760   	-2.54       	0
66107.800   	-1.82       	0
66107.840   	-2.18       	0
66107.880   	-3.64       	0
66107.920   	-6.91       	0
66107.960   	-9.09       	0
66108.000   	-9.45       	0
66108.040   	-8.00       	0
66108.080   	-6.91       	0
66108.120   	-5.45       	0
66108.160   	-4.36       	0
66108.200   	-4.73       	0
66108.240   	-3.64       	0
66108.280   	-3.27       	0
66108.320   	-2.18       	0
66108.360   	-1.82       	0
66108.400   	-0.73       	0
66108.440   	-0.36       	0
66108.480   	0.73        	0
66108.520   	1.45        	0
66108.560   	1.82        	0
66108.600   	1.09        	0
66108.640   	0.00        	0
66108.680   	0.00        	0
66108.720   	0.73        	0
66108.760   	0.73        	0
66108.800   	1.09        	0
66108.840   	1.45        	0
66108.880   	1.45        	0
66108.920   	1.09        	0
66108.960   	1.45        	0
66109.000   	1.82        	0
66109.040   	1.09        	0
66109.080   	-0.36       	0
66109.120   	-0.73       	0
66109.160   	0.36        	0
66109.200   	1.82        	0
66109.240   	2.91        	0
66109.280   	2.91        	0
66109.320   	2.18        	0
66109.360   	1.09        	0
66109.400   	0.73        	0
66109.440   	0.00        	0
66109.480   	-1.09       	0
66109.520   	-2.54       	0
66109.560   	-2.54       	0
66109.600   	-2.18       	0
66109.640   	-1.82       	0
66109.680   	-1.82       	0
66109.720   	-0.73       	0
66109.760   	0.36        	0
66109.800   	1.45        	0
66109.840   	1.82        	0
66109.880   	1.45        	0
66109.920   	0.73        	0
66109.960   	0.36        	0

537127.560  	-1.09       	0
537127.600  	-1.09       	0
537127.640  	0.00        	0
537127.680  	0.73        	0
537127.720  	0.73        	0
537127.760  	-0.36       	0
537127.800  	-1.09       	0
537127.840  	-2.18       	0
537127.880  	-1.45       	0
537127.920  	-0.73       	0
537127.960  	-0.73       	0
537128.000  	0.36        	0
537128.040  	1.09        	0
537128.080  	1.82        	0
537128.120  	2.18        	0
537128.160  	2.18        	0
537128.200  	2.54        	0
537128.240  	2.54        	0
537128.280  	1.45        	0
537128.320  	0.36        	0
537128.360  	-1.09       	0
537128.400  	-2.18       	0
537128.440  	-3.27       	0
537128.480  	-5.09       	0
537128.520  	-8.00       	0
537128.560  	-9.45       	0
537128.600  	-8.00       	0
537128.640  	-4.73       	0
537128.680  	-2.54       	0
537128.720  	-1.45       	0
537128.760  	-1.45       	0
537128.800  	-2.18       	0
537128.840  	-1.45       	0
537128.880  	-0.73       	0
537128.920  	-1.09       	0
537128.960  	-2.54       	0
537129.000  	-3.27       	0
537129.040  	-2.54       	0
537129.080  	-1.09       	0
537129.120  	-0.73       	0
537129.160  	0.00        	0
537129.200  	2.18        	0
537129.240  	3.64        	0
537129.280  	3.64        	0
537129.320  	2.54        	0
537129.360  	1.09        	0
537129.400  	0.73        	0
537129.440  	0.73        	0
537129.480  	1.45        	0
537129.520  	2.18        	0
537129.560  	2.54        	0
537129.600  	2.18        	0
537129.640  	2.18        	0
537129.680  	3.27        	0
537129.720  	2.91        	0
537129.760  	1.45        	0
537129.800  	-0.73       	0
537129.840  	-1.09       	0
537129.880  	-1.09       	0
537129.920  	0.00        	0
537129.960  	0.73        	0
537130.000  	1.09        	0
537130.040  	1.45        	0
537130.080  	1.45        	0
537130.120  	1.82        	0
537130.160  	3.27        	0
537130.200  	3.64        	0
537130.240  	2.18        	0
537130.280  	0.00        	0
537130.320  	-0.73       	0
537130.360  	-1.09       	0
537130.400  	-1.09       	0
537130.440  	-0.73       	0
537130.480  	0.36        	0
537130.520  	0.36        	0


t           	Spikes 2 41 	Unit
[ms]        	[µV]
102856.480  	1.82        	0
102856.520  	2.54        	0
102856.560  	2.91        	0
102856.600  	3.27        	0
102856.640  	3.64        	0
102856.680  	2.54        	0
102856.720  	0.73        	0
102856.760  	-0.36       	0
102856.800  	-0.73       	0
102856.840  	0.00        	0
102856.880  	0.36        	0
102856.920  	0.73        	0
102856.960  	0.00        	0
102857.000  	-1.09       	0
102857.040  	-1.09       	0
102857.080  	0.00        	0
102857.120  	0.36        	0
102857.160  	0.36        	0
102857.200  	0.73        	0
102857.240  	0.73        	0
102857.280  	-0.36       	0
102857.320  	-1.45       	0
102857.360  	-3.27       	0
102857.400  	-6.54       	0
102857.440  	-8.00       	0
102857.480  	-9.09       	0
102857.520  	-7.27       	0
102857.560  	-6.18       	0
102857.600  	-5.09       	0
102857.640  	-4.00       	0
102857.680  	-2.91       	0
102857.720  	-2.91       	0
102857.760  	-3.27       	0
102857.800  	-3.27       	0
102857.840  	-4.00       	0
102857.880  	-4.36       	0
102857.920  	-2.91       	0
102857.960  	-1.82       	0
102858.000  	-1.45       	0
102858.040  	-1.82       	0
102858.080  	-2.18       	0
102858.120  	-2.18       	0
102858.160  	-2.18       	0
102858.200  	-1.45       	0
102858.240  	-0.73       	0
102858.280  	-1.09       	0
102858.320  	-0.73       	0
102858.360  	0.36        	0
102858.400  	0.73        	0
102858.440  	1.45        	0
102858.480  	2.18        	0
102858.520  	1.82        	0
102858.560  	0.36        	0
102858.600  	-1.09       	0
102858.640  	-1.09       	0
102858.680  	-0.73       	0
102858.720  	-1.82       	0
102858.760  	-2.54       	0
102858.800  	-1.09       	0
102858.840  	0.73        	0
102858.880  	1.45        	0
102858.920  	1.45        	0
102858.960  	0.36        	0
102859.000  	-0.36       	0
102859.040  	0.36        	0
102859.080  	0.73        	0
102859.120  	-0.36       	0
102859.160  	-1.09       	0
102859.200  	-0.73       	0
102859.240  	0.00        	0
102859.280  	0.00        	0
102859.320  	0.73        	0
102859.360  	1.09        	0
102859.400  	0.73        	0
102859.440  	0.00        	0

132811.600  	4.73        	0
132811.640  	3.64        	0
132811.680  	2.18        	0
132811.720  	0.36        	0
132811.760  	-1.09       	0
132811.800  	-2.54       	0
132811.840  	-2.91       	0
132811.880  	-4.36       	0
132811.920  	-4.00       	0
132811.960  	-1.09       	0
132812.000  	0.73        	0
132812.040  	0.36        	0
132812.080  	-0.73       	0
132812.120  	-1.45       	0
132812.160  	-1.45       	0
132812.200  	-1.45       	0
132812.240  	-2.18       	0
132812.280  	-2.54       	0
132812.320  	-2.54       	0
132812.360  	-1.82       	0
132812.400  	-1.45       	0
132812.440  	-1.45       	0
132812.480  	-2.54       	0
132812.520  	-5.09       	0
132812.560  	-7.63       	0
132812.600  	-9.09       	0
132812.640  	-8.36       	0
132812.680  	-6.54       	0
132812.720  	-3.64       	0
132812.760  	-1.82       	0
132812.800  	-1.45       	0
132812.840  	-1.45       	0
132812.880  	-0.36       	0
132812.920  	0.73        	0
132812.960  	1.09        	0
132813.000  	0.36        	0
132813.040  	-0.36       	0
132813.080  	-0.36       	0
132813.120  	0.00        	0
132813.160  	1.45        	0
132813.200  	2.54        	0
132813.240  	1.45        	0
132813.280  	-0.36       	0
132813.320  	-2.18       	0
132813.360  	-2.91       	0
132813.400  	-2.18       	0
132813.440  	-1.45       	0
132813.480  	-2.18       	0
132813.520  	-2.54       	0
132813.560  	-1.09       	0
132813.600  	0.73        	0
132813.640  	1.09        	0
132813.680  	1.45        	0
132813.720  	1.82        	0
132813.760  	2.18        	0
132813.800  	0.73        	0
132813.840  	-1.09       	0
132813.880  	-1.45       	0
132813.920  	-1.45       	0
132813.960  	-0.36       	0
132814.000  	0.00        	0
132814.040  	-1.45       	0
132814.080  	-1.82       	0
132814.120  	-2.18       	0
132814.160  	-1.82       	0
132814.200  	-1.45       	0
132814.240  	-0.36       	0
132814.280  	-0.36       	0
132814.320  	-1.82       	0
132814.360  	-2.54       	0
132814.400  	-1.82       	0
132814.440  	-1.45       	0
132814.480  	0.00        	0
132814.520  	0.36        	0
132814.560  	-0.36       	0

218689.240  	4.36        	0
218689.280  	4.36        	0
218689.320  	4.00        	0
218689.360  	2.54        	0
218689.400  	2.54        	0
218689.440  	2.91        	0
218689.480  	2.54        	0
218689.520  	1.45        	0
218689.560  	0.73        	0
218689.600  	0.00        	0
218689.640  	-1.09       	0
218689.680  	-1.45       	0
218689.720  	-1.45       	0
218689.760  	-0.36       	0
218689.800  	0.73        	0
218689.840  	1.45        	0
218689.880  	1.45        	0
218689.920  	0.00        	0
218689.960  	-0.73       	0
218690.000  	-1.82       	0
218690.040  	-2.54       	0
218690.080  	-2.18       	0
218690.120  	-3.27       	0
218690.160  	-6.18       	0
218690.200  	-8.73       	0
218690.240  	-9.09       	0
218690.280  	-8.00       	0
218690.320  	-7.27       	0
218690.360  	-5.82       	0
218690.400  	-4.36       	0
218690.440  	-2.54       	0
218690.480  	-1.45       	0
218690.520  	-1.09       	0
218690.560  	-0.36       	0
218690.600  	0.00        	0
218690.640  	0.73        	0
218690.680  	1.45        	0
218690.720  	0.36        	0
218690.760  	-1.09       	0
218690.800  	-1.82       	0
218690.840  	-1.09       	0
218690.880  	0.00        	0
218690.920  	1.09        	0
218690.960  	-0.36       	0
218691.000  	-2.54       	0
218691.040  	-4.00       	0
218691.080  	-2.91       	0
218691.120  	-1.45       	0
218691.160  	-0.36       	0
218691.200  	0.36        	0
218691.240  	0.00        	0
218691.280  	-0.73       	0
218691.320  	-0.73       	0
218691.360  	0.00        	0
218691.400  	1.45        	0
218691.440  	1.45        	0
218691.480  	0.73        	0
218691.520  	-0.36       	0
218691.560  	-0.73       	0
218691.600  	-1.09       	0
218691.640  	-0.36       	0
218691.680  	0.73        	0
218691.720  	0.73        	0
